dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
200881786,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100114_4_2_1,kristiansandavis,,,,,Kristiansand,20100114,2010,,,,,,,digavis
200881807,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100617_4_24_1,kristiansandavis,,,,,Kristiansand,20100617,2010,,,,,,,digavis
200881805,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100603_4_22_1,kristiansandavis,,,,,Kristiansand,20100603,2010,,,,,,,digavis
200881867,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110901_5_35_1,kristiansandavis,,,,,Kristiansand,20110901,2011,,,,,,,digavis
200881819,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100916_4_37_1,kristiansandavis,,,,,Kristiansand,20100916,2010,,,,,,,digavis
200881876,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20111103_5_44_1,kristiansandavis,,,,,Kristiansand,20111103,2011,,,,,,,digavis
200881938,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20130117_7_3_1,kristiansandavis,,,,,Kristiansand,20130117,2013,,,,,,,digavis
200881849,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110428_5_17_1,kristiansandavis,,,,,Kristiansand,20110428,2011,,,,,,,digavis
200881894,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20120308_6_10_1,kristiansandavis,,,,,Kristiansand,20120308,2012,,,,,,,digavis
200881798,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100415_4_15_1,kristiansandavis,,,,,Kristiansand,20100415,2010,,,,,,,digavis
200881901,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20120426_6_17_1,kristiansandavis,,,,,Kristiansand,20120426,2012,,,,,,,digavis
200881906,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20120531_6_22_1,kristiansandavis,,,,,Kristiansand,20120531,2012,,,,,,,digavis
200881866,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110825_5_34_1,kristiansandavis,,,,,Kristiansand,20110825,2011,,,,,,,digavis
200881871,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110929_5_39_1,kristiansandavis,,,,,Kristiansand,20110929,2011,,,,,,,digavis
200881796,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100401_4_13_1,kristiansandavis,,,,,Kristiansand,20100401,2010,,,,,,,digavis
200881804,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100527_4_21_1,kristiansandavis,,,,,Kristiansand,20100527,2010,,,,,,,digavis
200881949,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20130404_7_14_1,kristiansandavis,,,,,Kristiansand,20130404,2013,,,,,,,digavis
200881827,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20101111_4_45_1,kristiansandavis,,,,,Kristiansand,20101111,2010,,,,,,,digavis
200881787,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100121_4_3_1,kristiansandavis,,,,,Kristiansand,20100121,2010,,,,,,,digavis
200881930,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20121115_6_46_1,kristiansandavis,,,,,Kristiansand,20121115,2012,,,,,,,digavis
200881788,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100204_4_5_1,kristiansandavis,,,,,Kristiansand,20100204,2010,,,,,,,digavis
200881917,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20120816_6_33_1,kristiansandavis,,,,,Kristiansand,20120816,2012,,,,,,,digavis
