,avis,parti,normalisert
0,Adresseavisen,Høyre,adresseavisen
1,Aftenposten,Høyre,aftenposten
2,"Akershus, Asker og Bærums Budstikke",Høyre,akershusaskerogbaerumsbudstikke
3,Christiansands Tidende,Høyre,christiansandstidende
4,Drammens Tidende,Høyre,drammenstidende
5,Farsunds Avis,Høyre,farsundsavis
6,Finmarksposten,Høyre,finmarksposten
7,Finnmark Tidende,Høyre,finnmarktidende
8,Fjordenes Tidende,Høyre,fjordenestidende
9,Fjordingen,Høyre,fjordingen
10,Fredrikstad Blad,Høyre,fredrikstadblad
11,Fylkestidende for Sogn og Fjordane,Høyre,fylkestidendeforsognogfjordane
12,Gjengangeren,Høyre,gjengangeren
13,Grimstad Adressetidende,Høyre,grimstadadressetidende
14,Hamar Stiftstidende,Høyre,hamarstiftstidende
15,Harstad Tidende,Høyre,harstadtidende
16,Helgeland,Høyre,helgeland
17,Jarlsberg,Høyre,jarlsberg
18,Kragerø Blad,Høyre,krageroblad
19,Kragerø Blad,Høyre,krageroeblad
20,Larvik Morgenavis,Høyre,larvikmorgenavis
21,Lillehammer Tilskuer,Høyre,lillehammertilskuer
22,Morgenavisen,Høyre,morgenavisen
23,Morgenbladet,Høyre,morgenbladet
24,Moss Avis,Høyre,mossavis
25,Møre Dagblad,Høyre,moredagblad
26,Møre Dagblad,Høyre,moeredagblad
27,Nordlandsposten,Høyre,nordlandsposten
28,Ofotens Tidende,Høyre,ofotenstidende
29,Ringerikes Blad,Høyre,ringerikesblad
30,Sandefjords Blad,Høyre,sandefjordsblad
31,Sarpen,Høyre,sarpen
32,Smaalenenes Amtstidende,Høyre,smaalenenesamtstidende
33,Sogningen,Høyre,sogningen
34,Stavangeren,Høyre,stavangeren
35,Svelviksposten,Høyre,svelviksposten
36,Sør- Varanger Avis,Høyre,sorvarangeravis
37,Sør- Varanger Avis,Høyre,soervarangeravis
38,Tønsbergs Blad,Høyre,tonsbergsblad
39,Tønsbergs Blad,Høyre,toensbergsblad
40,Vestfmmarken,Høyre,vestfmmarken
41,Vestlandske Tidende,Høyre,vestlandsketidende
42,Østlandets Blad,Høyre,østlandetsblad
43,Lofotposten,Høyre,lofotposten
44,Indre Smaalenenes Avis og Opplands Tidende,Høyre,indresmaalenenesavisogopplandstidende
45,Dagbladet,Venstre,dagbladet
46,Bergens Tidende,Venstre,bergenstidende
47,Stavanger Aftenblad,Venstre,stavangeraftenblad
48,Sunnmørsposten,Venstre,sunnmorsposten
49,Sunnmørsposten,Venstre,sunnmoersposten
50,Fædrelandsvennen,Venstre,faedrelandsvennen
51,Haugesunds Avis,Venstre,haugesundsavis
52,Romsdalsposten,Venstre,romsdalsposten
53,Nidaros,Venstre,nidaros
54,Porsgrunns Dagblad,Venstre,porsgrunnsdagblad
55,Romsdals Budstikke,Venstre,romsdalsbudstikke
56,Velgeren,Venstre,velgeren
57,Østlands-Posten,Venstre,østlandsposten
58,Lindesnes,Venstre,lindesnes
59,Trønder-Avisa,Venstre,tronderavisa
60,Trønder-Avisa,Venstre,troenderavisa
61,Nordtrønderen,Venstre,nordtronderen
62,Nordtrønderen,Venstre,nordtroenderen
63,Sogn og Fjordane,Venstre,sognogfjordane
64,Sør-Trøndelag,Venstre,sortrondelag
65,Sør-Trøndelag,Venstre,soertroendelag
66,Agder,Venstre,agder
67,Firda Folkeblad,Venstre,firdafolkeblad
68,Hardanger,Venstre,hardanger
69,Hordaland,Venstre,hordaland
70,Hordaland Folkeblad,Venstre,hordalandfolkeblad
71,Lillesandsposten,Venstre,lillesandsposten
72,Fjell-Ljom,Venstre,fjellljom
73,Fjordabladet,Venstre,fjordabladet
74,Vest-Agder,Venstre,vestagder
75,Akershus Folkeblad,Venstre,akershusfolkeblad
76,Vestmar,Venstre,vestmar
77,Teledølen og Nordlands Avis,Venstre,teledolenognordlandsavis
78,Teledølen og Nordlands Avis,Venstre,teledoelenognordlandsavis
79,Dagsavisen/Arbeiderbladet,Arbeiderpartiet,dagsavisenarbeiderbladet
80,Bergens arbeiderblad,Arbeiderpartiet,bergensarbeiderblad
81,Arbeider-Avisa,Arbeiderpartiet,arbeideravisa
82,Rogalands Avis,Arbeiderpartiet,rogalandsavis
83,Sørlandet,Arbeiderpartiet,sorlandet
84,Sørlandet,Arbeiderpartiet,soerlandet
85,Fremtiden,Arbeiderpartiet,fremtiden
86,Sunnmøre arberideravis,Arbeiderpartiet,sunnmorearberideravis
87,Sunnmøre arberideravis,Arbeiderpartiet,sunnmoerearberideravis
88,Sørlandet,Arbeiderpartiet,sorlandet
89,Sørlandet,Arbeiderpartiet,soerlandet
90,Risør Arbeiderblad,Arbeiderpartiet,risorarbeiderblad
